Date,CNYUSD,Date,JPYUSD,Date,EURUSD,Date,GBPUSD
28/8/2012,0.157376,28/8/2012,0.0127372,28/8/2012,1.25648,28/8/2012,1.58189
29/8/2012,0.157408,29/8/2012,0.0127047,29/8/2012,1.25297,29/8/2012,1.58334
30/8/2012,0.15746,30/8/2012,0.0127186,30/8/2012,1.25062,30/8/2012,1.57855
31/8/2012,0.157488,31/8/2012,0.0127575,31/8/2012,1.2579,31/8/2012,1.58665
3/9/2012,0.157689,3/9/2012,0.0127782,3/9/2012,1.25928,3/9/2012,1.58864
4/9/2012,0.157518,4/9/2012,0.012754,4/9/2012,1.25661,4/9/2012,1.58702
5/9/2012,0.157473,5/9/2012,0.0127556,5/9/2012,1.26015,5/9/2012,1.59025
6/9/2012,0.157624,6/9/2012,0.0126803,6/9/2012,1.26306,6/9/2012,1.5932
7/9/2012,0.157634,7/9/2012,0.012783,7/9/2012,1.28161,7/9/2012,1.60101
10/9/2012,0.157761,10/9/2012,0.0127748,10/9/2012,1.2758,10/9/2012,1.59898
11/9/2012,0.157833,11/9/2012,0.0128583,11/9/2012,1.28547,11/9/2012,1.607
12/9/2012,0.15803,12/9/2012,0.0128439,12/9/2012,1.28995,12/9/2012,1.61073
13/9/2012,0.15795,13/9/2012,0.0129044,13/9/2012,1.29907,13/9/2012,1.6155
14/9/2012,0.158332,14/9/2012,0.0127551,14/9/2012,1.31305,14/9/2012,1.62165
17/9/2012,0.158115,17/9/2012,0.0127054,17/9/2012,1.31168,17/9/2012,1.62507
18/9/2012,0.158238,18/9/2012,0.0126871,18/9/2012,1.30479,18/9/2012,1.62442
19/9/2012,0.158476,19/9/2012,0.0127587,19/9/2012,1.30486,19/9/2012,1.6222
20/9/2012,0.158629,20/9/2012,0.0127816,20/9/2012,1.29685,20/9/2012,1.62145
21/9/2012,0.158484,21/9/2012,0.012796,21/9/2012,1.29795,21/9/2012,1.62296
24/9/2012,0.158484,24/9/2012,0.0128453,24/9/2012,1.29308,24/9/2012,1.62186
25/9/2012,0.158557,25/9/2012,0.0128538,25/9/2012,1.28993,25/9/2012,1.61875
26/9/2012,0.158657,26/9/2012,0.0128631,26/9/2012,1.28727,26/9/2012,1.61655
27/9/2012,0.158642,27/9/2012,0.012886,27/9/2012,1.29127,27/9/2012,1.62355
28/9/2012,0.159089,28/9/2012,0.0128302,28/9/2012,1.28597,28/9/2012,1.6167
1/10/2012,0.159089,1/10/2012,0.0128206,1/10/2012,1.28883,1/10/2012,1.61305
2/10/2012,0.158098,2/10/2012,0.012795,2/10/2012,1.29195,2/10/2012,1.61335
3/10/2012,0.157818,3/10/2012,0.0127406,3/10/2012,1.29055,3/10/2012,1.60757
4/10/2012,0.157806,4/10/2012,0.0127423,4/10/2012,1.3018,4/10/2012,1.61911
5/10/2012,0.157953,5/10/2012,0.0127121,5/10/2012,1.30447,5/10/2012,1.61355
8/10/2012,0.159172,8/10/2012,0.0127658,8/10/2012,1.29681,8/10/2012,1.60266
9/10/2012,0.159039,9/10/2012,0.0127794,9/10/2012,1.28848,9/10/2012,1.6003
10/10/2012,0.158899,10/10/2012,0.0127895,10/10/2012,1.28745,10/10/2012,1.60059
11/10/2012,0.159426,11/10/2012,0.012765,11/10/2012,1.29275,11/10/2012,1.60455
12/10/2012,0.159561,12/10/2012,0.0127489,12/10/2012,1.29509,12/10/2012,1.60723
15/10/2012,0.159472,15/10/2012,0.0127151,15/10/2012,1.29488,15/10/2012,1.6071
16/10/2012,0.159627,16/10/2012,0.0126766,16/10/2012,1.30538,16/10/2012,1.61108
