Date,Price
1/4/2013,1595.8
2/4/2013,1583.07
3/4/2013,1571
4/4/2013,1550.57
5/4/2013,1565.99
8/4/2013,1570.95
9/4/2013,1587.4
10/4/2013,1568.78
11/4/2013,1565.84
12/4/2013,1504.28
15/4/2013,1358.92
16/4/2013,1390.31
17/4/2013,1388.3
18/4/2013,1396.49
19/4/2013,1403.55
22/4/2013,1424.24
23/4/2013,1409.88
24/4/2013,1424.55
25/4/2013,1455.05
26/4/2013,1477.6
29/4/2013,1472.65
30/4/2013,1467.64
1/5/2013,1445.78
2/5/2013,1466.6
3/5/2013,1467.85
6/5/2013,1468.4
7/5/2013,1446.45
8/5/2013,1467.55
9/5/2013,1465.36
10/5/2013,1423.47
13/5/2013,1433.3
14/5/2013,1435.55
15/5/2013,1394.8
16/5/2013,1389.68
17/5/2013,1364.24
20/5/2013,1361.35
21/5/2013,1366.28
22/5/2013,1379.09
23/5/2013,1382.65
24/5/2013,1387.51
27/5/2013,1393.8
28/5/2013,1386.3
29/5/2013,1387.92
30/5/2013,1415.95
31/5/2013,1392.74
3/6/2013,1408.95
4/6/2013,1395.19
5/6/2013,1407.5
6/6/2013,1405.7
7/6/2013,1381.68
10/6/2013,1383.44
11/6/2013,1376.09
12/6/2013,1391.3
13/6/2013,1382.9
14/6/2013,1386.8
17/6/2013,1383.29
18/6/2013,1363.9
19/6/2013,1373.84
20/6/2013,1296.78
21/6/2013,1289.85
24/6/2013,1286.53
25/6/2013,1275.15
26/6/2013,1234.47
27/6/2013,1228.28
28/6/2013,1215.43
1/7/2013,1246.84
2/7/2013,1249.42
3/7/2013,1258.45
4/7/2013,1248.6
5/7/2013,1214.88
8/7/2013,1236.8
9/7/2013,1249.4
10/7/2013,1257.55
11/7/2013,1280.55
12/7/2013,1279.94
15/7/2013,1284.97
16/7/2013,1291.78
17/7/2013,1283.3
18/7/2013,1285.69
19/7/2013,1294.81
22/7/2013,1327.78
23/7/2013,1334.53
24/7/2013,1332.65
25/7/2013,1326.28
26/7/2013,1318.27
29/7/2013,1329.68
30/7/2013,1325.03
31/7/2013,1309.66
1/8/2013,1314.44
2/8/2013,1313.35
5/8/2013,1298.93
6/8/2013,1286.68
7/8/2013,1285.44
8/8/2013,1308.91
9/8/2013,1311.1
12/8/2013,1341.37
13/8/2013,1326.66
14/8/2013,1332.46
15/8/2013,1329.41
16/8/2013,1368.03
19/8/2013,1366.85
20/8/2013,1373.72
21/8/2013,1369.05
22/8/2013,1376.51
23/8/2013,1396.31
26/8/2013,1396.31
27/8/2013,1418
28/8/2013,1417.55
29/8/2013,1407.14
30/8/2013,1397.63
2/9/2013,1393.3
3/9/2013,1402.23
4/9/2013,1391.28
5/9/2013,1369.66
6/9/2013,1387.18
9/9/2013,1388.38
10/9/2013,1362.52
11/9/2013,1363.01
12/9/2013,1331.15
13/9/2013,1316.9
16/9/2013,1317.63
17/9/2013,1311.39
18/9/2013,1299.09
19/9/2013,1371.61
20/9/2013,1337.97
23/9/2013,1327.94
24/9/2013,1316.85
25/9/2013,1336.64
26/9/2013,1325.3
27/9/2013,1339.77
30/9/2013,1330.84
1/10/2013,1290.24
2/10/2013,1318.4
3/10/2013,1315.18
4/10/2013,1311.09
7/10/2013,1324.09
8/10/2013,1327.15
9/10/2013,1301.99
10/10/2013,1300.58
11/10/2013,1268.29
14/10/2013,1280.8
15/10/2013,1270.15
16/10/2013,1271.55
17/10/2013,1319.54
18/10/2013,1316.31
21/10/2013,1316.12
22/10/2013,1342.46
23/10/2013,1334.69
24/10/2013,1347.45
25/10/2013,1346.69
28/10/2013,1353.59
29/10/2013,1346.19
30/10/2013,1355.13
31/10/2013,1323.61
1/11/2013,1309.9
4/11/2013,1318.56
5/11/2013,1309.84
6/11/2013,1316.51
7/11/2013,1311.05
8/11/2013,1285.35
11/11/2013,1282.6
12/11/2013,1275.15
13/11/2013,1275.44
14/11/2013,1289.99
15/11/2013,1287.74
18/11/2013,1280.17
19/11/2013,1274.94
20/11/2013,1263.75
21/11/2013,1241.94
22/11/2013,1245.4
25/11/2013,1239.9
26/11/2013,1244.05
27/11/2013,1242.94
28/11/2013,1244.5
29/11/2013,1253.35
2/12/2013,1227.74
3/12/2013,1223.6
4/12/2013,1226.74
5/12/2013,1228.15
6/12/2013,1235.55
9/12/2013,1236.1
10/12/2013,1261.65
11/12/2013,1257.07
12/12/2013,1230
13/12/2013,1236
16/12/2013,1242.47
17/12/2013,1229.8
18/12/2013,1231.32
19/12/2013,1195.57
20/12/2013,1205.47
23/12/2013,1201.55
24/12/2013,1201.68
25/12/2013,1201.68
26/12/2013,1212.96
27/12/2013,1216.15
30/12/2013,1205.99
31/12/2013,1207.85
1/1/2014,1207.85
2/1/2014,1224.23
3/1/2014,1236.6
6/1/2014,1241.88
7/1/2014,1227.05
8/1/2014,1223.09
9/1/2014,1226.72
10/1/2014,1246.4
13/1/2014,1250.6
14/1/2014,1251.49
15/1/2014,1240.43
16/1/2014,1241.8
17/1/2014,1252.39
20/1/2014,1256.85
21/1/2014,1241.44
22/1/2014,1241.21
23/1/2014,1259.7
24/1/2014,1267.13
27/1/2014,1261.38
28/1/2014,1253.03
29/1/2014,1264.78
30/1/2014,1241.22
31/1/2014,1242.68
3/2/2014,1263.9
4/2/2014,1251.15
5/2/2014,1260.82
6/2/2014,1256.03
7/2/2014,1262.93
10/2/2014,1274.97
11/2/2014,1289.84
12/2/2014,1293.05
13/2/2014,1297.43
14/2/2014,1316.68
17/2/2014,1328
18/2/2014,1322.32
19/2/2014,1320.25
20/2/2014,1315.32
21/2/2014,1319.93
24/2/2014,1338.43
25/2/2014,1340.95
26/2/2014,1325.43
27/2/2014,1333.93
28/2/2014,1325.7
3/3/2014,1353.99
4/3/2014,1336.97
5/3/2014,1338.32
6/3/2014,1345.82
7/3/2014,1335.84
10/3/2014,1340.95
11/3/2014,1341.54
12/3/2014,1365.74
13/3/2014,1372.25
14/3/2014,1376.15
17/3/2014,1373.05
18/3/2014,1358.45
19/3/2014,1341.34
20/3/2014,1330.45
21/3/2014,1335.1
24/3/2014,1311.74
25/3/2014,1311.95
26/3/2014,1303.93
27/3/2014,1295.87
28/3/2014,1291.8
31/3/2014,1289.28
1/4/2014,1281.15
2/4/2014,1292.63
3/4/2014,1288.4
4/4/2014,1305.61
7/4/2014,1301.18
8/4/2014,1309.34
9/4/2014,1305.88
10/4/2014,1320.68
11/4/2014,1318.25
14/4/2014,1328.79
15/4/2014,1302.13
16/4/2014,1299.7
17/4/2014,1298.9
18/4/2014,1298.9
21/4/2014,1286.63
22/4/2014,1283.2
23/4/2014,1284.19
24/4/2014,1288.97
25/4/2014,1302.07
28/4/2014,1294.49
29/4/2014,1299.35
30/4/2014,1293.7
1/5/2014,1282.28
2/5/2014,1302.57
5/5/2014,1310.96
6/5/2014,1307.55
7/5/2014,1297.06
8/5/2014,1288.68
9/5/2014,1288.15
