Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
1/3/2009 0:00,0,50,0,0,0,0.000285,0,1,0,4.97E-08,1,0,0,0,0,1,1,1,1,1,50,0,0
1/5/2009 0:00,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/7/2009 0:00,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1/9/2009 0:00,0,750,0,0,0,0.000215,0,1,0,6.96E-07,1,0,0,0,0,14,14,15,14,14,700,0,0
1/11/2009 0:00,0,7600,0,0,0,0.000215387,0,1,0,5.27E-06,1,0,0,0,0,106,106,152,106,106,5300,0,0
1/13/2009 0:00,0,17800,0,0,0,0.000218078,0,1,0,5.72E-06,1,0,0,57500,0,117,116,363,116,116,5778,10,0
1/15/2009 0:00,0,30450,0,0,0,0.000241748,0,1,0,6.31E-06,1,0,0,1533.816425,0,136,136,625,136,136,6911,414,0
1/17/2009 0:00,0,41650,0,0,0,0.000218231,0,1,0,5.37E-06,1,0,0,5400,0,109,109,851,109,109,5500,100,0
1/19/2009 0:00,0,52650,0,0,0,0.000219555,0,1,0,5.92E-06,1,0,0,3966.666667,0,120,120,1072,120,120,6100,150,0
1/21/2009 0:00,0,64100,0,0,0,0.00022754,0,1,0,5.62E-06,1,0,0,1130,0,115,115,1305,115,115,6150,500,0
1/23/2009 0:00,0,71200,0,0,0,0.00022194,0,1,0,3.33E-06,1,0,0,2233.333333,0,68,68,1449,68,68,3500,150,0
1/25/2009 0:00,0,90850,0,0,0,0.000216969,0,1,0,9.64E-06,1,0,0,19400,0,195,195,1845,195,195,9750,50,0
1/27/2009 0:00,0,101800,0,0,0,0.000242524,0,1,0,5.12E-06,1,0,0,447.826087,0,105,105,2066,105,105,6300,1150,0
1/29/2009 0:00,0,113050,0,0,0,0.000215467,0,1,0,6.06E-06,1,0,0,0,0,122,122,2291,122,122,6100,0,0
1/31/2009 0:00,0,125550,0,0,0,0.000215558,0,1,0,6.41E-06,1,0,0,0,0,129,129,2542,129,129,6450,0,0
2/2/2009 0:00,0,137700,0,0,0,0.000215835,0,1,0,6.31E-06,1,0,0,0,0,127,127,2787,127,127,6350,0,0
2/4/2009 0:00,0,150650,0,0,0,0.00022239,0,1,0,6.11E-06,1,0,0,16171.4436,0,129,126,3063,126,126,6300,38,0
2/6/2009 0:00,0,163150,0,0,0,0.000215814,0,1,0,6.41E-06,1,0,0,0,0,129,129,3313,129,129,6450,0,0
2/8/2009 0:00,0,176150,0,0,0,0.00021753,0,1,0,6.66E-06,1,0,0,670,0,135,135,3578,135,135,7700,1000,0
2/10/2009 0:00,0,188900,0,0,0,0.000215669,0,1,0,6.31E-06,1,0,0,0,0,127,127,3834,127,127,6350,0,0
2/12/2009 0:00,0,201350,0,0,0,0.000220483,0,1,0,5.87E-06,1,0,0,2950,0,119,119,4085,119,119,6100,200,0
2/14/2009 0:00,0,214600,0,0,0,0.000215865,0,1,0,7.01E-06,1,0,0,0,0,141,141,4350,141,141,7050,0,0
2/16/2009 0:00,0,226850,0,0,0,0.000215886,0,1,0,6.11E-06,1,0,0,0,0,123,123,4598,123,123,6150,0,0
2/18/2009 0:00,0,238950,0,0,0,0.000215935,0,1,0,6.16E-06,1,0,0,0,0,124,124,4841,124,124,6200,0,0
2/20/2009 0:00,0,251200,0,0,0,0.000230453,0,1,0,6.36E-06,1,0,0,800,0,129,129,5087,129,129,7200,800,0
2/22/2009 0:00,0,262750,0,0,0,0.000228587,0,1,0,6.01E-06,1,0,0,576.1904762,0,125,125,5322,125,125,7100,1050,0
2/24/2009 0:00,0,273650,0,0,0,0.000215946,0,1,0,5.52E-06,1,0,0,0,0,111,111,5540,111,111,5550,0,0
2/26/2009 0:00,0,283800,0,0,0,0.000215979,0,1,0,4.77E-06,1,0,0,0,0,96,96,5743,96,96,4800,0,0
2/28/2009 0:00,0,295050,0,0,0,0.000256686,0,1,0,5.07E-06,1,0,0,283.3333333,0,103,103,5969,103,103,6900,1800,0
3/2/2009 0:00,0,305550,0,0,0,0.000215942,0,1,0,5.17E-06,1,0,0,0,0,104,104,6180,104,104,5200,0,0
3/4/2009 0:00,0,316150,0,0,0,0.000215717,0,1,0,5.27E-06,1,0,0,0,0,106,106,6394,106,106,5300,0,0
3/6/2009 0:00,0,327350,0,0,0,0.000223941,0,1,0,5.87E-06,1,0,0,1475,0,119,119,6621,119,119,6300,400,0
3/8/2009 0:00,0,338500,0,0,0,0.000244357,0,1,0,5.57E-06,1,0,0,361.2903226,0,115,115,6847,115,115,7150,1550,0
3/10/2009 0:00,0,349400,0,0,0,0.00021581,0,1,0,5.22E-06,1,0,0,0,0,105,105,7065,105,105,5250,0,0
3/12/2009 0:00,0,360700,0,0,0,0.0002195,0,1,0,5.87E-06,1,0,0,3933.333333,0,119,119,7292,119,119,6050,150,0
3/14/2009 0:00,0,372200,0,0,0,0.00021594,0,1,0,5.77E-06,1,0,0,0,0,116,116,7523,116,116,5800,0,0
3/16/2009 0:00,0,384250,0,0,0,0.000258369,0,1,0,6.46E-06,1,0,0,270.8333333,0,131,131,7765,131,131,8900,2400,0
3/18/2009 0:00,0,395500,0,0,0,0.000215955,0,1,0,5.47E-06,1,0,0,0,0,110,110,7990,110,110,5500,0,0
3/20/2009 0:00,0,407500,0,0,0,0.000227746,0,1,0,5.87E-06,1,0,0,983.3333333,0,119,119,8233,119,119,6500,600,0
3/22/2009 0:00,0,416100,0,0,0,0.000229989,0,1,0,4.72E-06,1,0,0,863.6363636,0,96,97,8407,97,97,5300,550,0
3/24/2009 0:00,0,427950,0,0,0,0.000215981,0,1,0,5.22E-06,1,0,0,0,0,105,105,8644,105,105,5250,0,0
3/26/2009 0:00,0,439400,0,0,0,0.000244566,0,1,0,5.62E-06,1,0,0,403.5714286,0,114,114,8874,114,114,7050,1400,0
3/28/2009 0:00,0,450850,0,0,0,0.000236227,0,1,0,5.92E-06,1,0,0,595,0,120,122,9106,122,122,6950,1000,0
3/30/2009 0:00,0,462700,0,0,0,0.000215872,0,1,0,6.21E-06,1,0,0,0,0,125,125,9343,125,125,6250,0,0
4/1/2009 0:00,0,473700,0,0,0,0.000215879,0,1,0,5.32E-06,1,0,0,0,0,107,107,9564,107,107,5350,0,0
4/3/2009 0:00,0,485350,0,0,0,0.000215956,0,1,0,5.62E-06,1,0,0,0,0,113,113,9797,113,113,5650,0,0
4/5/2009 0:00,0,497450,0,0,0,0.000215969,0,1,0,6.41E-06,1,0,0,0,0,129,129,10039,129,129,6450,0,0
4/7/2009 0:00,0,508150,0,0,0,0.00021599,0,1,0,4.92E-06,1,0,0,0,0,99,99,10255,99,99,4950,0,0
4/9/2009 0:00,0,518300,0,0,0,0.000215889,0,1,0,4.92E-06,1,0,0,0,0,99,99,10458,99,99,4950,0,0
4/11/2009 0:00,0,529550,0,0,0,0.00022323,0,1,0,6.06E-06,1,0,0,1742.857143,0,123,123,10684,123,123,6450,350,0
4/13/2009 0:00,0,541050,0,0,0,0.000226991,0,1,0,5.72E-06,1,0,0,598.9583333,0,119,118,10917,118,118,6750,960,0
4/15/2009 0:00,0,553000,0,0,0,0.000215732,0,1,0,5.57E-06,1,0,0,0,0,112,112,11156,112,112,5600,0,0
4/17/2009 0:00,0,564900,0,0,0,0.000215843,0,1,0,5.72E-06,1,0,0,0,0,115,115,11394,115,115,5750,0,0
4/19/2009 0:00,0,576950,0,0,0,0.000225345,0,1,0,5.92E-06,1,0,0,1322.222222,0,121,121,11640,121,121,6400,450,0
4/21/2009 0:00,0,588950,0,0,0,0.000282984,0,1,0,6.11E-06,1,0,0,175.7137837,0,126,125,11883,125,125,9700,3500,0
4/23/2009 0:00,0,599000,0,0,0,0.000215788,0,1,0,3.98E-06,1,0,0,0,0,80,80,12084,80,80,4000,0,0
4/25/2009 0:00,0,610750,0,0,0,0.000215861,0,1,0,6.06E-06,1,0,0,0,0,122,122,12319,122,122,6100,0,0
4/27/2009 0:00,0,621450,0,0,0,0.000215933,0,1,0,5.22E-06,1,0,0,0,0,105,105,12535,105,105,5250,0,0
4/29/2009 0:00,0,633450,0,0,0,0.000215846,0,1,0,6.11E-06,1,0,0,0,0,123,123,12775,123,123,6150,0,0
5/1/2009 0:00,0,646200,0,0,0,0.000215886,0,1,0,6.11E-06,1,0,0,0,0,123,123,13031,123,123,6150,0,0
5/3/2009 0:00,0,658050,0,0,0,0.000230939,0,1,0,5.67E-06,1,0,0,816.0343593,0,116,115,13270,115,115,6399.94,699,0
5/5/2009 0:00,0,670750,0,0,0,0.000242152,0,1,0,6.56E-06,1,0,0,440,0,133,133,13528,133,133,8100,1500,0
